item,count,mean_Openness,mean_Conscientiousness,mean_Extraversion,mean_Agreeableness,mean_Neuroticism
jane eyre,131,0.8322519083969466,0.6129770992366413,0.5923664122137404,0.7139312977099237,0.6898854961832062
cant remember ,24,0.7531249999999999,0.6541666666666667,0.5760416666666667,0.7218749999999999,0.671875
scythe,174,0.7770114942528735,0.5923850574712644,0.5817528735632184,0.727155172413793,0.7086206896551723
the art of war,142,0.8320422535211268,0.6955985915492957,0.6132042253521126,0.6973591549295775,0.6088028169014086
good girls guide to murder,621,0.736755233494364,0.6039452495974235,0.6202495974235104,0.7373993558776166,0.7164653784219001
alchemist,895,0.8280726256983241,0.6610055865921788,0.6360055865921788,0.7362849162011174,0.6249162011173184
circe,149,0.8682885906040269,0.614765100671141,0.6273489932885906,0.7453020134228188,0.7080536912751678
happy place,182,0.7832417582417583,0.7155219780219778,0.6899725274725275,0.7855769230769228,0.6483516483516484
tuesdays with morrie,122,0.8188524590163934,0.6448770491803277,0.6422131147540984,0.7543032786885246,0.6442622950819673
the little prince,146,0.835445205479452,0.6342465753424658,0.6092465753424657,0.726027397260274,0.6806506849315068
catcher in the rye,216,0.8048611111111109,0.6010416666666666,0.599074074074074,0.6936342592592593,0.6981481481481482
kite runner,339,0.7898967551622418,0.6426253687315635,0.6335545722713863,0.7301622418879056,0.6594395280235987
it,21889,0.7895358399195944,0.6546987071131619,0.6339474165105761,0.736681666590525,0.6561160857051487
laut bercerita ,115,0.7954347826086956,0.6191304347826087,0.5832608695652174,0.712391304347826,0.7467391304347826
project hail mary,134,0.8434701492537314,0.6531716417910448,0.6171641791044775,0.723320895522388,0.6332089552238805
alchemist ,332,0.8206325301204819,0.6494728915662651,0.6224397590361445,0.7396084337349398,0.6399849397590361
mistborn,148,0.833277027027027,0.5930743243243244,0.6114864864864865,0.7184121621621621,0.6603040540540541
na ,944,0.8172934322033898,0.6522510593220338,0.6257150423728813,0.7360963983050848,0.6657309322033899
not sure ,138,0.7668478260869565,0.6478260869565217,0.6353260869565217,0.7623188405797101,0.6815217391304347
the four agreements,160,0.8625,0.66484375,0.659375,0.7909375000000001,0.6028125
all the light we cannot see,111,0.8218468468468471,0.6957207207207207,0.6734234234234234,0.747072072072072,0.6470720720720721
mans search for meaning,33,0.8348484848484847,0.6893939393939393,0.6568181818181819,0.7325757575757575,0.6409090909090909
blood meridian,146,0.877054794520548,0.5910958904109589,0.5922945205479453,0.6433219178082192,0.699486301369863
educated,157,0.8144904458598726,0.6714968152866241,0.6773885350318471,0.7442675159235669,0.643312101910828
 laws of power ,157,0.7882165605095541,0.714968152866242,0.6447452229299363,0.6441082802547771,0.569267515923567
november ,241,0.7214730290456431,0.6489626556016597,0.6728215767634855,0.7537344398340248,0.6834024896265559
daisy jones and the six,116,0.7909482758620691,0.66875,0.6709051724137931,0.7502155172413792,0.6859913793103447
eragon,116,0.7568965517241378,0.6131465517241379,0.5575431034482758,0.700646551724138,0.6747844827586206
red white and royal blue,66,0.7992424242424242,0.6007575757575757,0.6045454545454545,0.7261363636363636,0.7651515151515151
macbeth,113,0.7438053097345132,0.6188053097345132,0.6179203539823009,0.7019911504424777,0.6575221238938054
the song of achilles ,102,0.8191176470588234,0.5750000000000002,0.5799019607843138,0.7259803921568627,0.7588235294117645
midnight library,330,0.8441666666666666,0.6471212121212122,0.6213636363636365,0.7537878787878788,0.6746969696969696
power,2399,0.8067528136723635,0.6868903709879116,0.6485410587744893,0.7019070446019174,0.6057523968320133
