item,count,mean_Openness,mean_Conscientiousness,mean_Extraversion,mean_Agreeableness,mean_Neuroticism
spider man across the spiderverse,92,0.7703804347826086,0.5763586956521739,0.5970108695652174,0.6980978260869566,0.66875
 things i hate about you ,187,0.7393048128342246,0.6122994652406417,0.6612299465240642,0.7486631016042781,0.7108288770053477
purple hearts,211,0.7471563981042653,0.6386255924170616,0.6332938388625592,0.7667061611374408,0.6920616113744075
i dont know,376,0.7247340425531915,0.6034574468085105,0.6033244680851063,0.7071143617021277,0.6654255319148936
bad boys,370,0.6961486486486487,0.6846621621621622,0.6599999999999999,0.7462837837837838,0.5933783783783784
guardians of the galaxy,1092,0.7786858974358974,0.6459478021978022,0.6154990842490843,0.7470238095238095,0.6524267399267399
coco,194,0.7929123711340206,0.6393041237113403,0.6346649484536082,0.7262886597938143,0.6655927835051546
demon slayer,298,0.777265100671141,0.637751677852349,0.5771812080536913,0.7282718120805368,0.663758389261745
lalaland,177,0.8274011299435028,0.586864406779661,0.625,0.7283898305084746,0.6933615819209039
shawshank redemption,379,0.7893139841688653,0.6627968337730871,0.6290237467018469,0.7189313984168866,0.6261213720316623
minions,268,0.7002798507462688,0.6437499999999999,0.6363805970149254,0.7207089552238806,0.6349813432835821
beautiful boy,201,0.7778606965174131,0.5804726368159204,0.6119402985074627,0.7386815920398011,0.7492537313432835
the nun,448,0.7575892857142856,0.6607142857142857,0.6137276785714286,0.7305803571428572,0.676171875
missing,231,0.7523809523809523,0.6272727272727272,0.6106060606060607,0.7411255411255411,0.6726190476190477
ballerina,229,0.7923580786026202,0.6615720524017468,0.584170305676856,0.726419213973799,0.6778384279475982
spiderman across the spiderverse ,46,0.818478260869565,0.583695652173913,0.5913043478260869,0.7266304347826086,0.6614130434782609
eternal sunshine of the spotless mind,220,0.8670454545454546,0.5968181818181817,0.5928409090909091,0.7445454545454543,0.7260227272727274
pearl,214,0.8356308411214953,0.5789719626168225,0.6059579439252337,0.6870327102803739,0.7519859813084113
spiderman across the spider verse ,64,0.78515625,0.6011718749999999,0.565625,0.7449218750000001,0.6921875
grown ups,219,0.6638127853881278,0.6230593607305935,0.6659817351598174,0.7093607305936074,0.6687214611872145
migration,215,0.7468604651162791,0.6560465116279071,0.6296511627906977,0.7834883720930232,0.6387209302325583
pulp fiction,199,0.8335427135678392,0.6086683417085427,0.6533919597989949,0.6751256281407035,0.6462311557788945
get out,185,0.7951351351351349,0.6077027027027028,0.6386486486486486,0.7117567567567569,0.6840540540540541
black swan,195,0.832948717948718,0.5832051282051282,0.6188461538461537,0.6774358974358974,0.7252564102564102
babylon,215,0.8698837209302325,0.5976744186046512,0.6691860465116279,0.7111627906976744,0.6791860465116278
all quiet on the western front,190,0.8022368421052632,0.6059210526315789,0.5972368421052632,0.6734210526315789,0.6605263157894737
i cant remember,67,0.7485074626865671,0.6406716417910447,0.6417910447761194,0.7227611940298508,0.6485074626865671
elvis,192,0.7742187499999998,0.666015625,0.67421875,0.7632812499999999,0.6354166666666666
the hunger games the ballad of songbirds and snakes,30,0.7708333333333333,0.6474999999999999,0.645,0.7158333333333332,0.6841666666666667
legally blonde,190,0.7573684210526315,0.6453947368421052,0.6490789473684211,0.7219736842105263,0.6723684210526315
i dont remember ,70,0.7785714285714286,0.604642857142857,0.6110714285714285,0.7360714285714286,0.6907142857142857
terrifier ,161,0.7096273291925466,0.6057453416149069,0.5962732919254659,0.6866459627329193,0.7093167701863353
home alone,208,0.6747596153846153,0.6471153846153845,0.6399038461538461,0.7407451923076922,0.6402644230769231
animal ,193,0.7435233160621761,0.6507772020725389,0.6800518134715026,0.6927461139896373,0.6316062176165803
kgf,318,0.7505503144654089,0.6785377358490565,0.6877358490566038,0.7038522012578616,0.6142295597484276
me before you,176,0.7789772727272727,0.6444602272727272,0.6207386363636364,0.7473011363636363,0.7021306818181817
how to train your dragon,228,0.7736842105263159,0.6031798245614034,0.5769736842105262,0.7119517543859648,0.6884868421052632
the greatest showman,185,0.7522972972972973,0.6174324324324324,0.6258108108108108,0.7382432432432432,0.686081081081081
cars ,158,0.6566455696202531,0.6216772151898735,0.6400316455696202,0.6859177215189873,0.6549050632911392
forest gump,168,0.7811011904761904,0.6303571428571428,0.6337797619047618,0.721875,0.6605654761904761
the creator,165,0.8312121212121211,0.6377272727272727,0.6128787878787879,0.7251515151515151,0.6331818181818182
aftersun,164,0.8932926829268293,0.5980182926829269,0.598780487804878,0.7245426829268292,0.7164634146341463
godzilla,858,0.7808275058275059,0.6235431235431236,0.5950757575757576,0.7215617715617715,0.652418414918415
red notice,179,0.6991620111731842,0.6568435754189944,0.6286312849162011,0.7291899441340781,0.6480446927374302
society of the snow,194,0.8134020618556702,0.6796391752577319,0.6400773195876289,0.7615979381443299,0.6073453608247423
frozen ,174,0.7527298850574711,0.6189655172413793,0.6005747126436781,0.7189655172413792,0.712212643678161
culpa mia,178,0.7306179775280898,0.6179775280898876,0.6551966292134831,0.711376404494382,0.685814606741573
shrek,191,0.7671465968586386,0.6270942408376964,0.6227748691099476,0.724476439790576,0.6589005235602093
priscilla,208,0.8104567307692307,0.6177884615384616,0.6314903846153845,0.7251201923076922,0.7078125
kung fu panda ,151,0.7440397350993377,0.6170529801324504,0.6271523178807946,0.6960264900662251,0.6389072847682119
hi nanna,163,0.770245398773006,0.6754601226993865,0.679601226993865,0.7342024539877301,0.6374233128834356
cruella,168,0.7825892857142857,0.61875,0.6172619047619048,0.6941964285714286,0.6952380952380952
midsommar,153,0.8697712418300653,0.600326797385621,0.6542483660130719,0.7191176470588235,0.7156862745098039
unsure,153,0.7769607843137255,0.6501633986928104,0.6323529411764706,0.7248366013071895,0.67859477124183
wednesday,284,0.7765845070422535,0.628169014084507,0.5777288732394367,0.6963028169014085,0.6967429577464789
blade runner ,137,0.8454379562043796,0.5879562043795621,0.5726277372262775,0.693978102189781,0.6870437956204379
one day,171,0.7888888888888891,0.6625730994152047,0.6280701754385966,0.7711988304093568,0.6713450292397661
red white and royal blue,94,0.7797872340425533,0.6061170212765957,0.5970744680851063,0.7492021276595744,0.7242021276595745
donnie darko,147,0.8409863945578231,0.5729591836734693,0.5903061224489795,0.689625850340136,0.7284013605442178
the moon,214,0.7546728971962616,0.6469626168224298,0.5607476635514018,0.7148364485981308,0.683644859813084
despicable me ,151,0.722682119205298,0.6342715231788079,0.6428807947019867,0.7178807947019868,0.6480132450331125
oppenhiemer,153,0.7864379084967319,0.6562091503267974,0.6467320261437909,0.7238562091503268,0.6513071895424837
gone girl,145,0.8389655172413791,0.618103448275862,0.6418965517241378,0.6679310344827586,0.6893103448275861
venom,191,0.7280104712041885,0.6143979057591624,0.6070680628272253,0.7175392670157067,0.656544502617801
notebook,1570,0.7253662420382165,0.6398566878980892,0.665015923566879,0.7483917197452229,0.6862898089171974
elemental ,165,0.7790909090909092,0.6493939393939394,0.6203030303030304,0.7586363636363637,0.6821212121212121
the conjuring,266,0.7410714285714285,0.6145676691729323,0.6072368421052632,0.7157894736842105,0.7063909774436089
the iron claw,146,0.8195205479452055,0.6404109589041096,0.649486301369863,0.7392123287671233,0.6710616438356164
horror,521,0.7592130518234165,0.6529750479846449,0.6076775431861805,0.7271593090211133,0.6773032629558541
avengers endgame,133,0.7400375939849624,0.6375939849624059,0.6171052631578946,0.7259398496240602,0.6355263157894736
dunki,190,0.7738157894736841,0.6589473684210526,0.6497368421052632,0.7201315789473687,0.6457894736842106
nope,146,0.822431506849315,0.5996575342465753,0.5785958904109588,0.7267123287671232,0.7248287671232877
trolls,414,0.7745169082125604,0.6041062801932368,0.6183574879227053,0.7428140096618356,0.7036231884057972
equalizer ,239,0.7735355648535565,0.6988493723849374,0.6532426778242678,0.7672594142259413,0.5928870292887028
challengers,167,0.8402694610778443,0.6082335329341317,0.6395209580838324,0.7377245508982035,0.7077844311377246
saw x,132,0.7861742424242425,0.6410984848484849,0.6128787878787879,0.6941287878787878,0.6910984848484848
i forgot,233,0.778969957081545,0.6002145922746781,0.5759656652360514,0.7024678111587983,0.6786480686695279
flipped,143,0.7816433566433566,0.6236013986013986,0.6138111888111889,0.711888111888112,0.6993006993006993
the perks of being a wallflower,180,0.8125,0.5805555555555556,0.5405555555555556,0.7427777777777778,0.7968055555555554
bad boys ,184,0.7069293478260869,0.6940217391304347,0.6730978260869565,0.7610054347826086,0.5944293478260869
green book,203,0.7916256157635467,0.6369458128078819,0.6401477832512315,0.7043103448275861,0.637807881773399
